"","x","y"
"148",4.56907763473236,3.85420585348614
"149",4.56907763473236,3.92778258951321
"150",4.56907763473236,4.04060025142137
"151",3.91886891198172,3.93636257526015
"152",3.6187725784045,3.88825287857035
"153",3.54374849501019,3.91546638027901
"154",4.09392510656843,4.02328795381751
"155",4.41902946794375,4.11955283351436
"156",4.51906157913615,4.21407125083983
"157",4.44403749574185,4.40315357180802
"158",4.44403749574185,4.50616100224591
"159",4.59408566253046,4.56455166073677
"160",4.76914185711717,4.62204634488331
"161",4.99421410730009,4.68755931181149
"162",5.34432649647351,4.73878217554778
"163",5.54439071885832,4.77085530667431
"164",5.79447099683934,4.82566206778788
"165",6.06955930261845,4.88447797029227
"166",6.24461549720517,4.91254196002799
"167",6.7447760531672,4.92895828328752
"168",7.19492055353303,4.96188190244111
